# d_ref=1	i_ref=4
M	D	I	n	solution_count
6	1	5	10	0
7	1	6	10	0
8	1	7	10	0
9	1	8	10	0
10	2	8	10	90
11	2	9	10	910
12	2	10	10	5050
13	2	11	10	20350
14	2	12	10	66550
15	3	12	10	1636690
16	3	13	10	4151290
17	3	14	10	9608170
18	3	15	10	20642050
19	3	16	10	41684500
20	4	16	10	691053220
1	0	1	11	0
2	0	2	11	0
3	0	3	11	0
4	0	4	11	0
5	1	4	11	0
6	1	5	11	0
7	1	6	11	0
8	1	7	11	0
9	1	8	11	0
10	2	8	11	0
11	2	9	11	110
12	2	10	11	1221
13	2	11	11	7381
14	2	12	11	32186
15	3	12	11	1086096
16	3	13	11	3306446
17	3	14	11	8929921
18	3	15	11	21929193
19	3	16	11	49826348
20	4	16	11	1006619328
1	0	1	12	0
2	0	2	12	0
3	0	3	12	0
4	0	4	12	0
5	1	4	12	0
6	1	5	12	0
7	1	6	12	0
8	1	7	12	0
9	1	8	12	0
10	2	8	12	0
11	2	9	12	0
12	2	10	12	132
13	2	11	12	1596
14	2	12	12	10440
15	3	12	12	511512
16	3	13	12	1946880
17	3	14	12	6310668
18	3	15	12	18082428
19	3	16	12	46960992
20	4	16	12	1161448080
1	0	1	13	0
2	0	2	13	0
3	0	3	13	0
4	0	4	13	0
5	1	4	13	0
6	1	5	13	0
7	1	6	13	0
8	1	7	13	0
9	1	8	13	0
10	2	8	13	0
11	2	9	13	0
12	2	10	13	0
13	2	11	13	156
14	2	12	13	2041
15	3	12	13	162253
16	3	13	13	823537
17	3	14	13	3337243
18	3	15	13	11476283
19	3	16	13	34775468
20	4	16	13	1062573980
1	0	1	14	0
2	0	2	14	0
3	0	3	14	0
4	0	4	14	0
5	1	4	14	0
6	1	5	14	0
7	1	6	14	0
8	1	7	14	0
9	1	8	14	0
10	2	8	14	0
11	2	9	14	0
12	2	10	14	0
13	2	11	14	0
14	2	12	14	182
15	3	12	14	31122
16	3	13	14	236978
17	3	14	14	1280566
18	3	15	14	5505150
19	3	16	14	20019832
20	4	16	14	767134200
1	0	1	15	0
2	0	2	15	0
3	0	3	15	0
4	0	4	15	0
5	1	4	15	0
6	1	5	15	0
7	1	6	15	0
8	1	7	15	0
9	1	8	15	0
10	2	8	15	0
11	2	9	15	0
12	2	10	15	0
13	2	11	15	0
14	2	12	15	0
15	3	12	15	2730
16	3	13	15	41580
17	3	14	15	337065
18	3	15	15	1932225
19	3	16	15	8784000
20	4	16	15	432057480
1	0	1	16	0
2	0	2	16	0
3	0	3	16	0
4	0	4	16	0
5	1	4	16	0
6	1	5	16	0
7	1	6	16	0
8	1	7	16	0
9	1	8	16	0
10	2	8	16	0
11	2	9	16	0
12	2	10	16	0
13	2	11	16	0
14	2	12	16	0
15	3	12	16	0
16	3	13	16	3360
17	3	14	16	54480
18	3	15	16	468496
19	3	16	16	2839936
20	4	16	16	185982976
1	0	1	17	0
2	0	2	17	0
3	0	3	17	0
4	0	4	17	0
5	1	4	17	0
6	1	5	17	0
7	1	6	17	0
8	1	7	17	0
9	1	8	17	0
10	2	8	17	0
11	2	9	17	0
12	2	10	17	0
13	2	11	17	0
14	2	12	17	0
15	3	12	17	0
16	3	13	17	0
17	3	14	17	4080
18	3	15	17	70176
19	3	16	17	638129
20	4	16	17	59127105
1	0	1	18	0
2	0	2	18	0
3	0	3	18	0
4	0	4	18	0
5	1	4	18	0
6	1	5	18	0
7	1	6	18	0
8	1	7	18	0
9	1	8	18	0
10	2	8	18	0
11	2	9	18	0
12	2	10	18	0
13	2	11	18	0
14	2	12	18	0
15	3	12	18	0
16	3	13	18	0
17	3	14	18	0
18	3	15	18	4896
19	3	16	18	89046
20	4	16	18	13089150
1	0	1	19	0
2	0	2	19	0
3	0	3	19	0
4	0	4	19	0
5	1	4	19	0
6	1	5	19	0
7	1	6	19	0
8	1	7	19	0
9	1	8	19	0
10	2	8	19	0
11	2	9	19	0
12	2	10	19	0
13	2	11	19	0
14	2	12	19	0
15	3	12	19	0
16	3	13	19	0
17	3	14	19	0
18	3	15	19	0
19	3	16	19	5814
20	4	16	19	1802340
1	0	1	20	0
2	0	2	20	0
3	0	3	20	0
4	0	4	20	0
5	1	4	20	0
6	1	5	20	0
7	1	6	20	0
8	1	7	20	0
9	1	8	20	0
10	2	8	20	0
11	2	9	20	0
12	2	10	20	0
13	2	11	20	0
14	2	12	20	0
15	3	12	20	0
16	3	13	20	0
17	3	14	20	0
18	3	15	20	0
19	3	16	20	0
20	4	16	20	116280
