# d_ref=1	i_ref=4
M	D	I	n	solution_count
1	0	1	1	1
2	0	2	1	1
3	0	3	1	1
4	0	4	1	1
5	1	4	1	1
6	1	5	1	1
7	1	6	1	1
8	1	7	1	1
9	1	8	1	1
10	2	8	1	1
11	2	9	1	1
12	2	10	1	1
13	2	11	1	1
14	2	12	1	1
15	3	12	1	1
16	3	13	1	1
17	3	14	1	1
18	3	15	1	1
19	3	16	1	1
20	4	16	1	1
1	0	1	2	0
2	0	2	2	1
3	0	3	2	2
4	0	4	2	3
5	1	4	2	8
6	1	5	2	10
7	1	6	2	12
8	1	7	2	14
9	1	8	2	16
10	2	8	2	34
11	2	9	2	38
12	2	10	2	42
13	2	11	2	46
14	2	12	2	50
15	3	12	2	102
16	3	13	2	110
17	3	14	2	118
18	3	15	2	126
19	3	16	2	134
20	4	16	2	270
1	0	1	3	0
2	0	2	3	0
3	0	3	3	1
4	0	4	3	3
5	1	4	3	18
6	1	5	3	30
7	1	6	3	45
8	1	7	3	63
9	1	8	3	84
10	2	8	3	300
11	2	9	3	378
12	2	10	3	465
13	2	11	3	561
14	2	12	3	666
15	3	12	3	2148
16	3	13	3	2502
17	3	14	3	2883
18	3	15	3	3291
19	3	16	3	3726
20	4	16	3	11580
1	0	1	4	0
2	0	2	4	0
3	0	3	4	0
4	0	4	4	1
5	1	4	4	16
6	1	5	4	40
7	1	6	4	80
8	1	7	4	140
9	1	8	4	224
10	2	8	4	1232
11	2	9	4	1776
12	2	10	4	2460
13	2	11	4	3300
14	2	12	4	4312
15	3	12	4	19912
16	3	13	4	25168
17	3	14	4	31276
18	3	15	4	38300
19	3	16	4	46304
20	4	16	4	200120
1	0	1	5	0
2	0	2	5	0
3	0	3	5	0
4	0	4	5	0
5	1	4	5	5
6	1	5	5	25
7	1	6	5	75
8	1	7	5	175
9	1	8	5	350
10	2	8	5	2870
11	2	9	5	4830
12	2	10	5	7650
13	2	11	5	11550
14	2	12	5	16775
15	3	12	5	105435
16	3	13	5	145535
17	3	14	5	196105
18	3	15	5	258825
19	3	16	5	335500
20	4	16	5	1909020
1	0	1	6	0
2	0	2	6	0
3	0	3	6	0
4	0	4	6	0
5	1	4	6	0
6	1	5	6	6
7	1	6	6	36
8	1	7	6	126
9	1	8	6	336
10	2	8	6	4116
11	2	9	6	8316
12	2	10	6	15372
13	2	11	6	26532
14	2	12	6	43362
15	3	12	6	360822
16	3	13	6	548262
17	3	14	6	806442
18	3	15	6	1153698
19	3	16	6	1611288
20	4	16	6	11680728
1	0	1	7	0
2	0	2	7	0
3	0	3	7	0
4	0	4	7	0
5	1	4	7	0
6	1	5	7	0
7	1	6	7	7
8	1	7	7	49
9	1	8	7	196
10	2	8	7	3724
11	2	9	7	9408
12	2	10	7	20874
13	2	11	7	42042
14	2	12	7	78540
15	3	12	7	853314
16	3	13	7	1441440
17	3	14	7	2333331
18	3	15	7	3643003
19	3	16	7	5513872
20	4	16	7	49876120
1	0	1	8	0
2	0	2	8	0
3	0	3	8	0
4	0	4	8	0
5	1	4	8	0
6	1	5	8	0
7	1	6	8	0
8	1	7	8	8
9	1	8	8	64
10	2	8	8	2080
11	2	9	8	7008
12	2	10	8	19440
13	2	11	8	46992
14	2	12	8	102432
15	3	12	8	1447776
16	3	13	8	2752464
17	3	14	8	4952376
18	3	15	8	8507928
19	3	16	8	14051648
20	4	16	8	156524160
1	0	1	9	0
2	0	2	9	0
3	0	3	9	0
4	0	4	9	0
5	1	4	9	0
6	1	5	9	0
7	1	6	9	0
8	1	7	9	0
9	1	8	9	9
10	2	8	9	657
11	2	9	9	3321
12	2	10	9	12285
13	2	11	9	37125
14	2	12	9	97119
15	3	12	9	1795959
16	3	13	9	3903471
17	3	14	9	7903467
18	3	15	9	15090075
19	3	16	9	27420822
20	4	16	9	373252230
1	0	1	10	0
2	0	2	10	0
3	0	3	10	0
4	0	4	10	0
5	1	4	10	0
