# d_ref=1	i_ref=1
M	D	I	n	solution_count
1	0	1	1	1
2	1	1	1	1
3	1	2	1	1
4	2	2	1	1
5	2	3	1	1
6	3	3	1	1
7	3	4	1	1
8	4	4	1	1
9	4	5	1	1
10	5	5	1	1
11	5	6	1	1
12	6	6	1	1
13	6	7	1	1
14	7	7	1	1
15	7	8	1	1
16	8	8	1	1
17	8	9	1	1
18	9	9	1	1
19	9	10	1	1
20	10	10	1	1
1	0	1	2	0
2	1	1	2	2
3	1	2	2	4
4	2	2	2	10
5	2	3	2	14
6	3	3	2	30
7	3	4	2	38
8	4	4	2	78
9	4	5	2	94
10	5	5	2	190
11	5	6	2	222
12	6	6	2	446
13	6	7	2	510
14	7	7	2	1022
15	7	8	2	1150
16	8	8	2	2302
17	8	9	2	2558
18	9	9	2	5118
19	9	10	2	5630
20	10	10	2	11262
1	0	1	3	0
2	1	1	3	0
3	1	2	3	3
4	2	2	3	21
5	2	3	3	45
6	3	3	3	177
7	3	4	3	288
8	4	4	3	978
9	4	5	3	1416
10	5	5	3	4530
11	5	6	3	6135
12	6	6	3	19071
13	6	7	3	24711
14	7	7	3	75663
15	7	8	3	94962
16	8	8	3	288336
17	8	9	3	353178
18	9	9	3	1067208
19	9	10	3	1282185
20	10	10	3	3863445
1	0	1	4	0
2	1	1	4	0
3	1	2	4	0
4	2	2	4	12
5	2	3	4	52
6	3	3	4	388
7	3	4	4	856
8	4	4	4	4576
9	4	5	4	8104
10	5	5	4	38080
11	5	6	4	60140
12	6	6	4	265100
13	6	7	4	389612
14	7	7	4	1657292
15	7	8	4	2316608
16	8	8	4	9646280
17	8	9	4	12989856
18	9	9	4	53372136
19	9	10	4	69810660
20	10	10	4	284371380
1	0	1	5	0
2	1	1	5	0
3	1	2	5	0
4	2	2	5	0
5	2	3	5	20
6	3	3	5	360
7	3	4	5	1205
8	4	4	5	10305
9	4	5	5	23125
10	5	5	5	156145
11	5	6	5	291975
12	6	6	5	1760575
13	6	7	5	2955975
14	7	7	5	16727935
15	7	8	5	26127710
16	8	8	5	142221590
17	8	9	5	210790230
18	9	9	5	1118900430
19	9	10	5	1593146670
20	10	10	5	8314786650
1	0	1	6	0
2	1	1	6	0
3	1	2	6	0
4	2	2	6	0
5	2	3	6	0
6	3	3	6	120
7	3	4	6	810
8	4	4	6	12090
9	4	5	6	36546
10	5	5	6	358026
11	5	6	6	812526
12	6	6	6	6627006
13	6	7	6	12869646
14	7	7	6	94953726
15	7	8	6	166845756
16	8	8	6	1157840796
17	8	9	6	1895900076
18	9	9	6	12640141836
19	9	10	6	19631553012
20	10	10	6	127348198092
1	0	1	7	0
2	1	1	7	0
3	1	2	7	0
4	2	2	7	0
5	2	3	7	0
6	3	3	7	0
7	3	4	7	210
8	4	4	7	7140
9	4	5	7	32634
10	5	5	7	484260
11	5	6	7	1386217
12	6	6	7	15391201
13	6	7	7	35210665
14	7	7	7	336562177
15	7	8	7	672068320
16	8	8	7	5872398532
17	8	9	7	10687873728
18	9	9	7	88086416628
19	9	10	7	149786365890
20	10	10	7	1185925432314
1	0	1	8	0
2	1	1	8	0
3	1	2	8	0
4	2	2	8	0
5	2	3	8	0
6	3	3	8	0
7	3	4	8	0
8	4	4	8	1680
9	4	5	8	15456
10	5	5	8	384720
11	5	6	8	1479240
12	6	6	8	22923656
13	6	7	8	63437256
14	7	7	8	789183368
15	7	8	8	1816280992
16	8	8	8	19906794496
17	8	9	8	40609766688
18	9	9	8	410381123328
19	9	10	8	768117042960
20	10	10	8	7343227270800
1	0	1	9	0
2	1	1	9	0
3	1	2	9	0
4	2	2	9	0
5	2	3	9	0
6	3	3	9	0
7	3	4	9	0
8	4	4	9	0
9	4	5	9	3024
10	5	5	9	166320
11	5	6	9	965160
12	6	6	9	21999600
13	6	7	9	76615272
14	7	7	9	1260472752
15	7	8	9	3408776793
16	8	8	9	47025520065
17	8	9	9	108732776841
18	9	9	9	1344082891761
19	9	10	9	2788692216165
20	10	10	9	32011283332125
1	0	1	10	0
2	1	1	10	0
3	1	2	10	0
4	2	2	10	0
5	2	3	10	0
6	3	3	10	0
7	3	4	10	0
8	4	4	10	0
9	4	5	10	0
10	5	5	10	30240
11	5	6	10	352800
12	6	6	10	13179600
13	6	7	10	61552800
14	7	7	10	1381680720
15	7	8	10	4511662470
16	8	8	10	79204392630
17	8	9	10	210659363110
18	9	9	10	3193921399510
19	9	10	10	7412533550830
20	10	10	10	102012257669950
1	0	1	11	0
2	1	1	11	0
3	1	2	11	0
4	2	2	11	0
5	2	3	11	0
6	3	3	11	0
7	3	4	11	0
8	4	4	11	0
9	4	5	11	0
10	5	5	11	0
11	5	6	11	55440
12	6	6	11	4490640
13	6	7	11	31616640
14	7	7	11	1024863840
15	7	8	11	4205754630
16	8	8	11	95891588100
17	8	9	11	299243165870
18	9	9	11	5608927818780
19	9	10	11	14731169177021
20	10	10	11	243580730006361
1	0	1	12	0
2	1	1	12	0
3	1	2	12	0
4	2	2	12	0
5	2	3	12	0
6	3	3	12	0
7	3	4	12	0
8	4	4	12	0
9	4	5	12	0
10	5	5	12	0
11	5	6	12	0
12	6	6	12	665280
13	6	7	12	9408960
14	7	7	12	492307200
15	7	8	12	2706525360
16	8	8	12	82947359880
17	8	9	12	312182917200
18	9	9	12	7337112996840
19	9	10	12	22138650675900
20	10	10	12	442437838235052
1	0	1	13	0
2	1	1	13	0
3	1	2	13	0
4	2	2	13	0
5	2	3	13	0
6	3	3	13	0
7	3	4	13	0
8	4	4	13	0
9	4	5	13	0
10	5	5	13	0
