# d_ref=1	i_ref=1
M	D	I	n	solution_count
11	5	6	13	0
12	6	6	13	0
13	6	7	13	1235520
14	7	7	13	138378240
15	7	8	13	1145944800
16	8	8	13	50082112080
17	8	9	13	236671114680
18	9	9	13	7135102414440
19	9	10	13	25235472207660
20	10	10	13	615863597486280
1	0	1	14	0
2	1	1	14	0
3	1	2	14	0
4	2	2	14	0
5	2	3	14	0
6	3	3	14	0
7	3	4	14	0
8	4	4	14	0
9	4	5	14	0
10	5	5	14	0
11	5	6	14	0
12	6	6	14	0
13	6	7	14	0
14	7	7	14	17297280
15	7	8	14	287567280
16	8	8	14	20069169120
17	8	9	14	126963476640
18	9	9	14	5090884278480
19	9	10	14	21698177220720
20	10	10	14	657071091997320
1	0	1	15	0
2	1	1	15	0
3	1	2	15	0
4	2	2	15	0
5	2	3	15	0
6	3	3	15	0
7	3	4	15	0
8	4	4	15	0
9	4	5	15	0
10	5	5	15	0
11	5	6	15	0
12	6	6	15	0
13	6	7	15	0
14	7	7	15	0
15	7	8	15	32432400
16	8	8	15	4799995200
17	8	9	15	45715269600
18	9	9	15	2590181193600
19	9	10	15	13852761282360
20	10	10	15	533264077546200
1	0	1	16	0
2	1	1	16	0
3	1	2	16	0
4	2	2	16	0
5	2	3	16	0
6	3	3	16	0
7	3	4	16	0
8	4	4	16	0
9	4	5	16	0
10	5	5	16	0
11	5	6	16	0
12	6	6	16	0
13	6	7	16	0
14	7	7	16	0
15	7	8	16	0
16	8	8	16	518918400
17	8	9	16	9917107200
18	9	9	16	890118028800
19	9	10	16	6369584981760
20	10	10	16	323557540225920
1	0	1	17	0
2	1	1	17	0
3	1	2	17	0
4	2	2	17	0
5	2	3	17	0
6	3	3	17	0
7	3	4	17	0
8	4	4	17	0
9	4	5	17	0
10	5	5	17	0
11	5	6	17	0
12	6	6	17	0
13	6	7	17	0
14	7	7	17	0
15	7	8	17	0
16	8	8	17	0
17	8	9	17	980179200
18	9	9	17	185253868800
19	9	10	17	1994860707840
20	10	10	17	142195576723200
1	0	1	18	0
2	1	1	18	0
3	1	2	18	0
4	2	2	18	0
5	2	3	18	0
6	3	3	18	0
7	3	4	18	0
8	4	4	18	0
9	4	5	18	0
10	5	5	18	0
11	5	6	18	0
12	6	6	18	0
13	6	7	18	0
14	7	7	18	0
15	7	8	18	0
16	8	8	18	0
17	8	9	18	0
18	9	9	18	17643225600
19	9	10	18	381093672960
20	10	10	18	42767178854400
1	0	1	19	0
2	1	1	19	0
3	1	2	19	0
4	2	2	19	0
5	2	3	19	0
6	3	3	19	0
7	3	4	19	0
8	4	4	19	0
9	4	5	19	0
10	5	5	19	0
11	5	6	19	0
12	6	6	19	0
13	6	7	19	0
14	7	7	19	0
15	7	8	19	0
16	8	8	19	0
17	8	9	19	0
18	9	9	19	0
19	9	10	19	33522128640
20	10	10	19	7877700230400
1	0	1	20	0
2	1	1	20	0
3	1	2	20	0
4	2	2	20	0
5	2	3	20	0
6	3	3	20	0
7	3	4	20	0
8	4	4	20	0
9	4	5	20	0
10	5	5	20	0
11	5	6	20	0
12	6	6	20	0
13	6	7	20	0
14	7	7	20	0
15	7	8	20	0
16	8	8	20	0
17	8	9	20	0
18	9	9	20	0
19	9	10	20	0
20	10	10	20	670442572800
