# d_ref=9	i_ref=1
M	D	I	n	solution_count
20	18	2	12	104059166120362246144
1	0	1	13	0
2	1	1	13	0
3	2	1	13	0
4	3	1	13	0
5	4	1	13	0
6	5	1	13	0
7	6	1	13	0
8	7	1	13	0
9	8	1	13	0
10	9	1	13	0
11	9	2	13	0
12	10	2	13	0
13	11	2	13	3113510400
14	12	2	13	286442956800
15	13	2	13	14449801766400
16	14	2	13	529826064768000
17	15	2	13	15803549861299200
18	16	2	13	407137614570086400
19	17	2	13	9397489130328498176
20	18	2	13	199143548613225218048
1	0	1	14	0
2	1	1	14	0
3	2	1	14	0
4	3	1	14	0
5	4	1	14	0
6	5	1	14	0
7	6	1	14	0
8	7	1	14	0
9	8	1	14	0
10	9	1	14	0
11	9	2	14	0
12	10	2	14	0
13	11	2	14	0
14	12	2	14	43589145600
15	13	2	14	4620449433600
16	14	2	14	266983516800000
17	15	2	14	11155334141952000
18	16	2	14	377424376045516800
19	17	2	14	10983867868618444800
20	18	2	14	285338997985257226240
1	0	1	15	0
2	1	1	15	0
3	2	1	15	0
4	3	1	15	0
5	4	1	15	0
6	5	1	15	0
7	6	1	15	0
8	7	1	15	0
9	8	1	15	0
10	9	1	15	0
11	9	2	15	0
12	10	2	15	0
13	11	2	15	0
14	12	2	15	0
15	13	2	15	653837184000
16	14	2	15	79114299264000
17	15	2	15	5191467240960000
18	16	2	15	245202020743680000
19	17	2	15	9339395951837952000
20	18	2	15	304848957306845921280
1	0	1	16	0
2	1	1	16	0
3	2	1	16	0
4	3	1	16	0
5	4	1	16	0
6	5	1	16	0
7	6	1	16	0
8	7	1	16	0
9	8	1	16	0
10	9	1	16	0
11	9	2	16	0
12	10	2	16	0
13	11	2	16	0
14	12	2	16	0
15	13	2	16	0
16	14	2	16	10461394944000
17	15	2	16	1433211107328000
18	16	2	16	105994853572608000
19	17	2	16	5619149989060608000
20	18	2	16	239336735054376960000
1	0	1	17	0
2	1	1	17	0
3	2	1	17	0
4	3	1	17	0
5	4	1	17	0
6	5	1	17	0
7	6	1	17	0
8	7	1	17	0
9	8	1	17	0
10	9	1	17	0
11	9	2	17	0
12	10	2	17	0
13	11	2	17	0
14	12	2	17	0
15	13	2	17	0
16	14	2	17	0
17	15	2	17	177843714048000
18	16	2	17	27387931963392000
19	17	2	17	2267507354112000000
20	18	2	17	134073174833934336000
1	0	1	18	0
2	1	1	18	0
3	2	1	18	0
4	3	1	18	0
5	4	1	18	0
6	5	1	18	0
7	6	1	18	0
8	7	1	18	0
9	8	1	18	0
10	9	1	18	0
11	9	2	18	0
12	10	2	18	0
13	11	2	18	0
14	12	2	18	0
15	13	2	18	0
16	14	2	18	0
17	15	2	18	0
18	16	2	18	3201186852864000
19	17	2	18	550604138692608000
20	18	2	18	50726006870482944000
1	0	1	19	0
2	1	1	19	0
3	2	1	19	0
4	3	1	19	0
5	4	1	19	0
6	5	1	19	0
7	6	1	19	0
8	7	1	19	0
9	8	1	19	0
10	9	1	19	0
11	9	2	19	0
12	10	2	19	0
13	11	2	19	0
14	12	2	19	0
15	13	2	19	0
16	14	2	19	0
17	15	2	19	0
18	16	2	19	0
19	17	2	19	60822550204416000
20	18	2	19	11617107089043456000
1	0	1	20	0
2	1	1	20	0
3	2	1	20	0
4	3	1	20	0
5	4	1	20	0
6	5	1	20	0
7	6	1	20	0
8	7	1	20	0
9	8	1	20	0
10	9	1	20	0
11	9	2	20	0
12	10	2	20	0
13	11	2	20	0
14	12	2	20	0
15	13	2	20	0
16	14	2	20	0
17	15	2	20	0
18	16	2	20	0
19	17	2	20	0
20	18	2	20	1216451004088320000
