# d_ref=9	i_ref=1
M	D	I	n	solution_count
1	0	1	1	1
2	1	1	1	1
3	2	1	1	1
4	3	1	1	1
5	4	1	1	1
6	5	1	1	1
7	6	1	1	1
8	7	1	1	1
9	8	1	1	1
10	9	1	1	1
11	9	2	1	1
12	10	2	1	1
13	11	2	1	1
14	12	2	1	1
15	13	2	1	1
16	14	2	1	1
17	15	2	1	1
18	16	2	1	1
19	17	2	1	1
20	18	2	1	1
1	0	1	2	0
2	1	1	2	2
3	2	1	2	6
4	3	1	2	14
5	4	1	2	30
6	5	1	2	62
7	6	1	2	126
8	7	1	2	254
9	8	1	2	510
10	9	1	2	1022
11	9	2	2	1534
12	10	2	2	3070
13	11	2	2	6142
14	12	2	2	12286
15	13	2	2	24574
16	14	2	2	49150
17	15	2	2	98302
18	16	2	2	196606
19	17	2	2	393214
20	18	2	2	786430
1	0	1	3	0
2	1	1	3	0
3	2	1	3	6
4	3	1	3	36
5	4	1	3	150
6	5	1	3	540
7	6	1	3	1806
8	7	1	3	5796
9	8	1	3	18150
10	9	1	3	55980
11	9	2	3	113493
12	10	2	3	345081
13	11	2	3	1044453
14	12	2	3	3151785
15	13	2	3	9492213
16	14	2	3	28550361
17	15	2	3	85798533
18	16	2	3	257690505
19	17	2	3	773661333
20	18	2	3	2322163641
1	0	1	4	0
2	1	1	4	0
3	2	1	4	0
4	3	1	4	24
5	4	1	4	240
6	5	1	4	1560
7	6	1	4	8400
8	7	1	4	40824
9	8	1	4	186480
10	9	1	4	818520
11	9	2	4	2158260
12	10	2	4	9087012
13	11	2	4	37728372
14	12	2	4	155091300
15	13	2	4	632972340
16	14	2	4	2569858212
17	15	2	4	10393634292
18	16	2	4	41917731300
19	17	2	4	168701687220
20	18	2	4	677901394212
1	0	1	5	0
2	1	1	5	0
3	2	1	5	0
4	3	1	5	0
5	4	1	5	120
6	5	1	5	1800
7	6	1	5	16800
8	7	1	5	126000
9	8	1	5	834120
10	9	1	5	5103000
11	9	2	5	17355300
12	10	2	5	97567800
13	11	2	5	533274060
14	12	2	5	2855012160
15	13	2	5	15050517300
16	14	2	5	78417448200
17	15	2	5	404936532060
18	16	2	5	2076650831760
19	17	2	5	10592842815300
20	18	2	5	53807722512600
1	0	1	6	0
2	1	1	6	0
3	2	1	6	0
4	3	1	6	0
5	4	1	6	0
6	5	1	6	720
7	6	1	6	15120
8	7	1	6	191520
9	8	1	6	1905120
10	9	1	6	16435440
11	9	2	6	72833040
12	10	2	6	541130040
13	11	2	6	3832187040
14	12	2	6	26192766600
15	13	2	6	174286672560
16	14	2	6	1136023139160
17	15	2	6	7286643524160
18	16	2	6	46149480337320
19	17	2	6	289356787014480
20	18	2	6	1799697778978680
1	0	1	7	0
2	1	1	7	0
3	2	1	7	0
4	3	1	7	0
5	4	1	7	0
6	5	1	7	0
7	6	1	7	5040
8	7	1	7	141120
9	8	1	7	2328480
10	9	1	7	29635200
11	9	2	7	176064840
12	10	2	7	1742285160
13	11	2	7	15983906400
14	12	2	7	138712654080
15	13	2	7	1154337944760
16	14	2	7	9300372321240
17	15	2	7	73054768222800
18	16	2	7	562389882228720
19	17	2	7	4259775537962280
20	18	2	7	31843926274837320
1	0	1	8	0
2	1	1	8	0
3	2	1	8	0
4	3	1	8	0
5	4	1	8	0
6	5	1	8	0
7	6	1	8	0
8	7	1	8	40320
9	8	1	8	1451520
10	9	1	8	30240000
11	9	2	8	254620800
12	10	2	8	3445485120
13	11	2	8	41502162240
14	12	2	8	459888549120
15	13	2	8	4788809625600
16	14	2	8	47545180562880
17	15	2	8	454764423072960
18	16	2	8	4222553530366080
19	17	2	8	38279547300758400
20	18	2	8	340314582709765440
1	0	1	9	0
2	1	1	9	0
3	2	1	9	0
4	3	1	9	0
5	4	1	9	0
6	5	1	9	0
7	6	1	9	0
8	7	1	9	0
9	8	1	9	362880
10	9	1	9	16329600
11	9	2	9	217728000
12	10	2	9	4251139200
13	11	2	9	69269618880
14	12	2	9	996946030080
15	13	2	9	13111511212800
16	14	2	9	161102887545600
17	15	2	9	1877832612976320
18	16	2	9	20993373324443520
19	17	2	9	226943341693286400
20	18	2	9	2387006000946403328
1	0	1	10	0
2	1	1	10	0
3	2	1	10	0
4	3	1	10	0
5	4	1	10	0
6	5	1	10	0
7	6	1	10	0
8	7	1	10	0
9	8	1	10	0
10	9	1	10	3628800
11	9	2	10	101606400
12	10	2	10	3193344000
13	11	2	10	74444832000
14	12	2	10	1437144508800
15	13	2	10	24340905388800
16	14	2	10	374524166016000
17	15	2	10	5356270535616000
18	16	2	10	72341031485923200
19	17	2	10	933344048103667200
20	18	2	10	11602873897969537024
1	0	1	11	0
2	1	1	11	0
3	2	1	11	0
4	3	1	11	0
5	4	1	11	0
6	5	1	11	0
7	6	1	11	0
8	7	1	11	0
9	8	1	11	0
10	9	1	11	0
11	9	2	11	19958400
12	10	2	11	1337212800
13	11	2	11	49836124800
14	12	2	11	1367090524800
15	13	2	11	30846585369600
16	14	2	11	607062398342400
17	15	2	11	10797452207942400
18	16	2	11	177690950179142400
19	17	2	11	2750351798315721728
20	18	2	11	40520654310613278720
1	0	1	12	0
2	1	1	12	0
3	2	1	12	0
4	3	1	12	0
5	4	1	12	0
6	5	1	12	0
7	6	1	12	0
8	7	1	12	0
9	8	1	12	0
10	9	1	12	0
11	9	2	12	0
12	10	2	12	239500800
13	11	2	12	18920563200
14	12	2	12	825080256000
15	13	2	12	26306049369600
16	14	2	12	685831616870400
17	15	2	12	15514728182553600
18	16	2	12	315746164685952000
19	17	2	12	5921245378381132800
