# d_ref=1	i_ref=9
M	D	I	n	solution_count
8	0	8	16	0
9	0	9	16	0
10	1	9	16	0
11	1	10	16	0
12	1	11	16	0
13	1	12	16	0
14	1	13	16	0
15	1	14	16	0
16	1	15	16	16
17	1	16	16	256
18	1	17	16	2176
19	1	18	16	13056
20	2	18	16	943296
1	0	1	17	0
2	0	2	17	0
3	0	3	17	0
4	0	4	17	0
5	0	5	17	0
6	0	6	17	0
7	0	7	17	0
8	0	8	17	0
9	0	9	17	0
10	1	9	17	0
11	1	10	17	0
12	1	11	17	0
13	1	12	17	0
14	1	13	17	0
15	1	14	17	0
16	1	15	17	0
17	1	16	17	17
18	1	17	17	289
19	1	18	17	2601
20	2	18	17	266169
1	0	1	18	0
2	0	2	18	0
3	0	3	18	0
4	0	4	18	0
5	0	5	18	0
6	0	6	18	0
7	0	7	18	0
8	0	8	18	0
9	0	9	18	0
10	1	9	18	0
11	1	10	18	0
12	1	11	18	0
13	1	12	18	0
14	1	13	18	0
15	1	14	18	0
16	1	15	18	0
17	1	16	18	0
18	1	17	18	18
19	1	18	18	324
20	2	18	18	52650
1	0	1	19	0
2	0	2	19	0
3	0	3	19	0
4	0	4	19	0
5	0	5	19	0
6	0	6	19	0
7	0	7	19	0
8	0	8	19	0
9	0	9	19	0
10	1	9	19	0
11	1	10	19	0
12	1	11	19	0
13	1	12	19	0
14	1	13	19	0
15	1	14	19	0
16	1	15	19	0
17	1	16	19	0
18	1	17	19	0
19	1	18	19	19
20	2	18	19	6517
1	0	1	20	0
2	0	2	20	0
3	0	3	20	0
4	0	4	20	0
5	0	5	20	0
6	0	6	20	0
7	0	7	20	0
8	0	8	20	0
9	0	9	20	0
10	1	9	20	0
11	1	10	20	0
12	1	11	20	0
13	1	12	20	0
14	1	13	20	0
15	1	14	20	0
16	1	15	20	0
17	1	16	20	0
18	1	17	20	0
19	1	18	20	0
20	2	18	20	380
