# d_ref=9	i_ref=1
M	D	I	n	solution_count
1	0	1	1	1
2	1	1	1	1
3	2	1	1	1
4	3	1	1	1
5	4	1	1	1
6	5	1	1	1
7	6	1	1	1
8	7	1	1	1
9	8	1	1	1
10	9	1	1	1
1	0	1	2	0
2	1	1	2	2
3	2	1	2	6
4	3	1	2	14
5	4	1	2	30
6	5	1	2	62
7	6	1	2	126
8	7	1	2	254
9	8	1	2	510
10	9	1	2	1022
1	0	1	3	0
2	1	1	3	0
3	2	1	3	6
4	3	1	3	36
5	4	1	3	150
6	5	1	3	540
7	6	1	3	1806
8	7	1	3	5796
9	8	1	3	18150
10	9	1	3	55980
1	0	1	4	0
2	1	1	4	0
3	2	1	4	0
4	3	1	4	24
5	4	1	4	240
6	5	1	4	1560
7	6	1	4	8400
8	7	1	4	40824
9	8	1	4	186480
10	9	1	4	818520
1	0	1	5	0
2	1	1	5	0
3	2	1	5	0
4	3	1	5	0
5	4	1	5	120
6	5	1	5	1800
7	6	1	5	16800
8	7	1	5	126000
9	8	1	5	834120
10	9	1	5	5103000
1	0	1	6	0
2	1	1	6	0
3	2	1	6	0
4	3	1	6	0
5	4	1	6	0
6	5	1	6	720
7	6	1	6	15120
8	7	1	6	191520
9	8	1	6	1905120
10	9	1	6	16435440
1	0	1	7	0
2	1	1	7	0
3	2	1	7	0
4	3	1	7	0
5	4	1	7	0
6	5	1	7	0
7	6	1	7	5040
8	7	1	7	141120
9	8	1	7	2328480
10	9	1	7	29635200
1	0	1	8	0
2	1	1	8	0
3	2	1	8	0
4	3	1	8	0
5	4	1	8	0
6	5	1	8	0
7	6	1	8	0
8	7	1	8	40320
9	8	1	8	1451520
10	9	1	8	30240000
1	0	1	9	0
2	1	1	9	0
3	2	1	9	0
4	3	1	9	0
5	4	1	9	0
6	5	1	9	0
7	6	1	9	0
8	7	1	9	0
9	8	1	9	362880
10	9	1	9	16329600
1	0	1	10	0
2	1	1	10	0
3	2	1	10	0
4	3	1	10	0
5	4	1	10	0
6	5	1	10	0
7	6	1	10	0
8	7	1	10	0
9	8	1	10	0
10	9	1	10	3628800
