# d_ref=4	i_ref=1
M	D	I	n	solution_count
1	0	1	1	1
2	1	1	1	1
3	2	1	1	1
4	3	1	1	1
5	4	1	1	1
6	4	2	1	1
7	5	2	1	1
8	6	2	1	1
9	7	2	1	1
10	8	2	1	1
1	0	1	2	0
2	1	1	2	2
3	2	1	2	6
4	3	1	2	14
5	4	1	2	30
6	4	2	2	46
7	5	2	2	94
8	6	2	2	190
9	7	2	2	382
10	8	2	2	766
1	0	1	3	0
2	1	1	3	0
3	2	1	3	6
4	3	1	3	36
5	4	1	3	150
6	4	2	3	345
7	5	2	3	1173
8	6	2	3	3801
9	7	2	3	11973
10	8	2	3	37065
1	0	1	4	0
2	1	1	4	0
3	2	1	4	0
4	3	1	4	24
5	4	1	4	240
6	4	2	4	900
7	5	2	4	4980
8	6	2	4	24612
9	7	2	4	113652
10	8	2	4	502500
1	0	1	5	0
2	1	1	5	0
3	2	1	5	0
4	3	1	5	0
5	4	1	5	120
6	4	2	5	960
7	5	2	5	9300
8	6	2	5	71400
9	7	2	5	480060
10	8	2	5	2968560
1	0	1	6	0
2	1	1	6	0
3	2	1	6	0
4	3	1	6	0
5	4	1	6	0
6	4	2	6	360
7	5	2	6	7920
8	6	2	6	103320
9	7	2	6	1048320
10	8	2	6	9170280
1	0	1	7	0
2	1	1	7	0
3	2	1	7	0
4	3	1	7	0
5	4	1	7	0
6	4	2	7	0
7	5	2	7	2520
8	6	2	7	73080
9	7	2	7	1234800
10	8	2	7	15981840
1	0	1	8	0
2	1	1	8	0
3	2	1	8	0
4	3	1	8	0
5	4	1	8	0
6	4	2	8	0
7	5	2	8	0
8	6	2	8	20160
9	7	2	8	745920
10	8	2	8	15845760
1	0	1	9	0
2	1	1	9	0
3	2	1	9	0
4	3	1	9	0
5	4	1	9	0
6	4	2	9	0
7	5	2	9	0
8	6	2	9	0
9	7	2	9	181440
10	8	2	9	8346240
1	0	1	10	0
2	1	1	10	0
3	2	1	10	0
4	3	1	10	0
5	4	1	10	0
6	4	2	10	0
7	5	2	10	0
8	6	2	10	0
9	7	2	10	0
10	8	2	10	1814400
