# d_ref=1	i_ref=4
M	D	I	n	solution_count
1	0	1	1	1
2	0	2	1	1
3	0	3	1	1
4	0	4	1	1
5	1	4	1	1
6	1	5	1	1
7	1	6	1	1
8	1	7	1	1
9	1	8	1	1
10	2	8	1	1
1	0	1	2	0
2	0	2	2	1
3	0	3	2	2
4	0	4	2	3
5	1	4	2	8
6	1	5	2	10
7	1	6	2	12
8	1	7	2	14
9	1	8	2	16
10	2	8	2	34
1	0	1	3	0
2	0	2	3	0
3	0	3	3	1
4	0	4	3	3
5	1	4	3	18
6	1	5	3	30
7	1	6	3	45
8	1	7	3	63
9	1	8	3	84
10	2	8	3	300
1	0	1	4	0
2	0	2	4	0
3	0	3	4	0
4	0	4	4	1
5	1	4	4	16
6	1	5	4	40
7	1	6	4	80
8	1	7	4	140
9	1	8	4	224
10	2	8	4	1232
1	0	1	5	0
2	0	2	5	0
3	0	3	5	0
4	0	4	5	0
5	1	4	5	5
6	1	5	5	25
7	1	6	5	75
8	1	7	5	175
9	1	8	5	350
10	2	8	5	2870
1	0	1	6	0
2	0	2	6	0
3	0	3	6	0
4	0	4	6	0
5	1	4	6	0
6	1	5	6	6
7	1	6	6	36
8	1	7	6	126
9	1	8	6	336
10	2	8	6	4116
1	0	1	7	0
2	0	2	7	0
3	0	3	7	0
4	0	4	7	0
5	1	4	7	0
6	1	5	7	0
7	1	6	7	7
8	1	7	7	49
9	1	8	7	196
10	2	8	7	3724
1	0	1	8	0
2	0	2	8	0
3	0	3	8	0
4	0	4	8	0
5	1	4	8	0
6	1	5	8	0
7	1	6	8	0
8	1	7	8	8
9	1	8	8	64
10	2	8	8	2080
1	0	1	9	0
2	0	2	9	0
3	0	3	9	0
4	0	4	9	0
5	1	4	9	0
6	1	5	9	0
7	1	6	9	0
8	1	7	9	0
9	1	8	9	9
10	2	8	9	657
1	0	1	10	0
2	0	2	10	0
3	0	3	10	0
4	0	4	10	0
5	1	4	10	0
6	1	5	10	0
7	1	6	10	0
8	1	7	10	0
9	1	8	10	0
10	2	8	10	90
