# d_ref=3	i_ref=2
M	D	I	n	solution_count
1	0	1	1	1
2	1	1	1	1
3	1	2	1	1
4	2	2	1	1
5	3	2	1	1
6	3	3	1	1
7	4	3	1	1
8	4	4	1	1
9	5	4	1	1
10	6	4	1	1
1	0	1	2	0
2	1	1	2	2
3	1	2	2	4
4	2	2	2	10
5	3	2	2	22
6	3	3	2	30
7	4	3	2	62
8	4	4	2	78
9	5	4	2	158
10	6	4	2	318
1	0	1	3	0
2	1	1	3	0
3	1	2	3	3
4	2	2	3	21
5	3	2	3	93
6	3	3	3	177
7	4	3	3	621
8	4	4	3	978
9	5	4	3	3168
10	6	4	3	9978
1	0	1	4	0
2	1	1	4	0
3	1	2	4	0
4	2	2	4	12
5	3	2	4	132
6	3	3	4	388
7	4	3	4	2260
8	4	4	4	4576
9	5	4	4	22216
10	6	4	4	101536
1	0	1	5	0
2	1	1	5	0
3	1	2	5	0
4	2	2	5	0
5	3	2	5	60
6	3	3	5	360
7	4	3	5	3740
8	4	4	5	10305
9	5	4	5	74405
10	6	4	5	483105
1	0	1	6	0
2	1	1	6	0
3	1	2	6	0
4	2	2	6	0
5	3	2	6	0
6	3	3	6	120
7	4	3	6	2880
8	4	4	6	12090
9	5	4	6	134370
10	6	4	6	1252650
1	0	1	7	0
2	1	1	7	0
3	1	2	7	0
4	2	2	7	0
5	3	2	7	0
6	3	3	7	0
7	4	3	7	840
8	4	4	7	7140
9	5	4	7	134610
10	6	4	7	1882860
1	0	1	8	0
2	1	1	8	0
3	1	2	8	0
4	2	2	8	0
5	3	2	8	0
6	3	3	8	0
7	4	3	8	0
8	4	4	8	1680
9	5	4	8	70560
10	6	4	8	1641360
1	0	1	9	0
2	1	1	9	0
3	1	2	9	0
4	2	2	9	0
5	3	2	9	0
6	3	3	9	0
7	4	3	9	0
8	4	4	9	0
9	5	4	9	15120
10	6	4	9	771120
1	0	1	10	0
2	1	1	10	0
3	1	2	10	0
4	2	2	10	0
5	3	2	10	0
6	3	3	10	0
7	4	3	10	0
8	4	4	10	0
9	5	4	10	0
10	6	4	10	151200
