# d_ref=10	i_ref=0
M	D	I	n	solution_count
1	1	0	1	1
2	2	0	1	1
3	3	0	1	1
4	4	0	1	1
5	5	0	1	1
6	6	0	1	1
7	7	0	1	1
8	8	0	1	1
9	9	0	1	1
10	10	0	1	1
1	1	0	2	0
2	2	0	2	2
3	3	0	2	6
4	4	0	2	14
5	5	0	2	30
6	6	0	2	62
7	7	0	2	126
8	8	0	2	254
9	9	0	2	510
10	10	0	2	1022
1	1	0	3	0
2	2	0	3	0
3	3	0	3	6
4	4	0	3	36
5	5	0	3	150
6	6	0	3	540
7	7	0	3	1806
8	8	0	3	5796
9	9	0	3	18150
10	10	0	3	55980
1	1	0	4	0
2	2	0	4	0
3	3	0	4	0
4	4	0	4	24
5	5	0	4	240
6	6	0	4	1560
7	7	0	4	8400
8	8	0	4	40824
9	9	0	4	186480
10	10	0	4	818520
1	1	0	5	0
2	2	0	5	0
3	3	0	5	0
4	4	0	5	0
5	5	0	5	120
6	6	0	5	1800
7	7	0	5	16800
8	8	0	5	126000
9	9	0	5	834120
10	10	0	5	5103000
1	1	0	6	0
2	2	0	6	0
3	3	0	6	0
4	4	0	6	0
5	5	0	6	0
6	6	0	6	720
7	7	0	6	15120
8	8	0	6	191520
9	9	0	6	1905120
10	10	0	6	16435440
1	1	0	7	0
2	2	0	7	0
3	3	0	7	0
4	4	0	7	0
5	5	0	7	0
6	6	0	7	0
7	7	0	7	5040
8	8	0	7	141120
9	9	0	7	2328480
10	10	0	7	29635200
1	1	0	8	0
2	2	0	8	0
3	3	0	8	0
4	4	0	8	0
5	5	0	8	0
6	6	0	8	0
7	7	0	8	0
8	8	0	8	40320
9	9	0	8	1451520
10	10	0	8	30240000
1	1	0	9	0
2	2	0	9	0
3	3	0	9	0
4	4	0	9	0
5	5	0	9	0
6	6	0	9	0
7	7	0	9	0
8	8	0	9	0
9	9	0	9	362880
10	10	0	9	16329600
1	1	0	10	0
2	2	0	10	0
3	3	0	10	0
4	4	0	10	0
5	5	0	10	0
6	6	0	10	0
7	7	0	10	0
8	8	0	10	0
9	9	0	10	0
10	10	0	10	3628800
