# d_ref=3	i_ref=7
M	D	I	n	solution_count
1	0	1	1	1
2	0	2	1	1
3	0	3	1	1
4	1	3	1	1
5	1	4	1	1
6	1	5	1	1
7	2	5	1	1
8	2	6	1	1
9	2	7	1	1
10	3	7	1	1
1	0	1	2	0
2	0	2	2	1
3	0	3	2	2
4	1	3	2	6
5	1	4	2	8
6	1	5	2	10
7	2	5	2	22
8	2	6	2	26
9	2	7	2	30
10	3	7	2	62
1	0	1	3	0
2	0	2	3	0
3	0	3	3	1
4	1	3	3	9
5	1	4	3	18
6	1	5	3	30
7	2	5	3	120
8	2	6	3	171
9	2	7	3	231
10	3	7	3	783
1	0	1	4	0
2	0	2	4	0
3	0	3	4	0
4	1	3	4	4
5	1	4	4	16
6	1	5	4	40
7	2	5	4	280
8	2	6	4	500
9	2	7	4	812
10	3	7	4	4172
1	0	1	5	0
2	0	2	5	0
3	0	3	5	0
4	1	3	5	0
5	1	4	5	5
6	1	5	5	25
7	2	5	5	325
8	2	6	5	775
9	2	7	5	1575
10	3	7	5	11935
1	0	1	6	0
2	0	2	6	0
3	0	3	6	0
4	1	3	6	0
5	1	4	6	0
6	1	5	6	6
7	2	5	6	186
8	2	6	6	666
9	2	7	6	1806
10	3	7	6	20286
1	0	1	7	0
2	0	2	7	0
3	0	3	7	0
4	1	3	7	0
5	1	4	7	0
6	1	5	7	0
7	2	5	7	42
8	2	6	7	301
9	2	7	7	1225
10	3	7	7	21217
1	0	1	8	0
2	0	2	8	0
3	0	3	8	0
4	1	3	8	0
5	1	4	8	0
6	1	5	8	0
7	2	5	8	0
8	2	6	8	56
9	2	7	8	456
10	3	7	8	13448
1	0	1	9	0
2	0	2	9	0
3	0	3	9	0
4	1	3	9	0
5	1	4	9	0
6	1	5	9	0
7	2	5	9	0
8	2	6	9	0
9	2	7	9	72
10	3	7	9	4752
1	0	1	10	0
2	0	2	10	0
3	0	3	10	0
4	1	3	10	0
5	1	4	10	0
6	1	5	10	0
7	2	5	10	0
8	2	6	10	0
9	2	7	10	0
10	3	7	10	720
